Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,108232,Academy of Art University,6282,32,64,1,11,108
2002,108232,Academy of Art University,6650,9,46,0,11,66
2003,108232,Academy of Art University,6761,23,103,0,11,137
2004,108232,Academy of Art University,7453,16,32,0,11,59
2005,108232,Academy of Art University,8522,28,55,0,11,94
2006,108232,Academy of Art University,9483,15,88,0,11,114
2007,108232,Academy of Art University,11334,31,79,0,11,121
2008,108232,Academy of Art University,13181,27,92,0,11,130
2009,108232,Academy of Art University,15413,9,168,0,11,188
2010,108232,Academy of Art University,17697,21,123,0,11,155
2011,108232,Academy of Art University,18093,11,75,0,11,97
2012,108232,Academy of Art University,17871,23,68,2,11,104
2013,108232,Academy of Art University,16001,15,59,0,11,85
2014,108232,Academy of Art University,15212,18,63,2,11,94
2001,110422,California Polytechnic State University-San Luis Obispo,18079,28,13,0,1,42
2002,110422,California Polytechnic State University-San Luis Obispo,18453,27,11,0,1,39
2003,110422,California Polytechnic State University-San Luis Obispo,18303,38,15,0,1,54
2004,110422,California Polytechnic State University-San Luis Obispo,17582,13,5,0,1,19
2005,110422,California Polytechnic State University-San Luis Obispo,18475,23,2,0,1,26
2006,110422,California Polytechnic State University-San Luis Obispo,18722,27,2,0,1,30
2007,110422,California Polytechnic State University-San Luis Obispo,19777,24,0,0,1,25
2008,110422,California Polytechnic State University-San Luis Obispo,19471,33,1,0,1,35
2009,110422,California Polytechnic State University-San Luis Obispo,19325,12,3,0,1,16
2010,110422,California Polytechnic State University-San Luis Obispo,18360,36,0,0,1,37
2011,110422,California Polytechnic State University-San Luis Obispo,18762,18,8,0,1,27
2012,110422,California Polytechnic State University-San Luis Obispo,18679,11,34,0,1,46
2013,110422,California Polytechnic State University-San Luis Obispo,19703,25,12,2,1,40
2014,110422,California Polytechnic State University-San Luis Obispo,20186,36,172,2,1,211
2001,110510,California State University-San Bernardino,15985,40,30,0,10,80
2002,110510,California State University-San Bernardino,16341,24,107,0,10,141
2003,110510,California State University-San Bernardino,16927,68,66,0,10,144
2004,110510,California State University-San Bernardino,16194,76,173,0,10,259
2005,110510,California State University-San Bernardino,16431,65,105,0,10,180
2006,110510,California State University-San Bernardino,16479,51,61,0,10,122
2007,110510,California State University-San Bernardino,17066,50,11,0,10,71
2008,110510,California State University-San Bernardino,17646,41,0,0,10,51
2009,110510,California State University-San Bernardino,17852,49,27,0,10,86
2010,110510,California State University-San Bernardino,16400,21,52,0,10,83
2011,110510,California State University-San Bernardino,17250,23,17,2,10,52
2012,110510,California State University-San Bernardino,18234,39,19,0,10,68
2013,110510,California State University-San Bernardino,18398,32,161,4,10,207
2014,110510,California State University-San Bernardino,18952,25,231,0,10,266
2001,110529,California State Polytechnic University-Pomona,19041,136,124,0,3,263
2002,110529,California State Polytechnic University-Pomona,19821,104,86,0,3,193
2003,110529,California State Polytechnic University-Pomona,19804,80,158,0,3,241
2004,110529,California State Polytechnic University-Pomona,19003,69,153,0,3,225
2005,110529,California State Polytechnic University-Pomona,19885,93,298,0,3,394
2006,110529,California State Polytechnic University-Pomona,20510,85,383,0,3,471
2007,110529,California State Polytechnic University-Pomona,21477,57,455,0,3,515
2008,110529,California State Polytechnic University-Pomona,21190,32,362,0,3,397
2009,110529,California State Polytechnic University-Pomona,22273,40,462,0,3,505
2010,110529,California State Polytechnic University-Pomona,20747,41,392,6,3,442
2011,110529,California State Polytechnic University-Pomona,21107,47,329,0,3,379
2012,110529,California State Polytechnic University-Pomona,22156,46,244,0,3,293
2013,110529,California State Polytechnic University-Pomona,22501,35,382,2,3,422
2014,110529,California State Polytechnic University-Pomona,23966,32,272,0,3,307
2001,110538,California State University-Chico,16704,50,1005,0,2,1057
2002,110538,California State University-Chico,16246,24,864,0,2,890
2003,110538,California State University-Chico,15516,37,1405,0,2,1444
2004,110538,California State University-Chico,15734,41,848,0,2,891
2005,110538,California State University-Chico,15919,65,126,0,2,193
2006,110538,California State University-Chico,16250,29,438,0,2,469
2007,110538,California State University-Chico,17034,27,172,0,2,201
2008,110538,California State University-Chico,17132,32,139,0,2,173
2009,110538,California State University-Chico,16934,19,159,0,2,180
2010,110538,California State University-Chico,15989,21,111,0,2,134
2011,110538,California State University-Chico,15920,10,126,0,2,138
2012,110538,California State University-Chico,16470,16,89,0,2,107
2013,110538,California State University-Chico,16356,16,76,0,2,94
2014,110538,California State University-Chico,17287,12,40,0,2,54
2001,110547,California State University-Dominguez Hills,12871,38,2,0,0,40
2002,110547,California State University-Dominguez Hills,13504,38,3,0,0,41
2003,110547,California State University-Dominguez Hills,13248,34,3,0,0,37
2004,110547,California State University-Dominguez Hills,12613,38,5,0,0,43
2005,110547,California State University-Dominguez Hills,12357,45,0,0,0,45
2006,110547,California State University-Dominguez Hills,12068,59,0,0,0,59
2007,110547,California State University-Dominguez Hills,12082,50,0,0,0,50
2008,110547,California State University-Dominguez Hills,12851,62,0,0,0,62
2009,110547,California State University-Dominguez Hills,14477,79,3,2,0,84
2010,110547,California State University-Dominguez Hills,13854,50,2,2,0,54
2011,110547,California State University-Dominguez Hills,14364,97,5,0,0,102
2012,110547,California State University-Dominguez Hills,13933,32,0,2,0,34
2013,110547,California State University-Dominguez Hills,14670,16,6,4,0,26
2014,110547,California State University-Dominguez Hills,14687,23,4,0,0,27
2001,110556,California State University-Fresno,20007,134,52,0,5,191
2002,110556,California State University-Fresno,21272,143,16,0,5,164
2003,110556,California State University-Fresno,22342,78,49,0,5,132
2004,110556,California State University-Fresno,19781,90,150,0,5,245
2005,110556,California State University-Fresno,20371,79,120,0,5,204
2006,110556,California State University-Fresno,22098,138,215,0,5,358
2007,110556,California State University-Fresno,22383,87,214,0,5,306
2008,110556,California State University-Fresno,22613,97,106,0,5,208
2009,110556,California State University-Fresno,21500,72,196,2,5,275
2010,110556,California State University-Fresno,20932,25,201,2,5,233
2011,110556,California State University-Fresno,21981,52,199,0,5,256
2012,110556,California State University-Fresno,22565,32,106,0,5,143
2013,110556,California State University-Fresno,23060,28,133,2,5,168
2014,110556,California State University-Fresno,23179,23,153,0,5,181
2001,110565,California State University-Fullerton,30357,62,5,0,5,72
2002,110565,California State University-Fullerton,32143,63,35,0,5,103
2003,110565,California State University-Fullerton,32592,35,68,0,5,108
2004,110565,California State University-Fullerton,32744,67,63,0,5,135
2005,110565,California State University-Fullerton,35040,67,59,0,5,131
2006,110565,California State University-Fullerton,35921,76,61,0,5,142
2007,110565,California State University-Fullerton,37130,70,0,0,5,75
2008,110565,California State University-Fullerton,36996,55,65,0,5,125
2009,110565,California State University-Fullerton,36262,37,84,2,5,128
2010,110565,California State University-Fullerton,35590,34,141,2,5,182
2011,110565,California State University-Fullerton,36156,28,378,2,5,413
2012,110565,California State University-Fullerton,37677,30,328,6,5,369
2013,110565,California State University-Fullerton,38325,16,107,0,5,128
2014,110565,California State University-Fullerton,38128,26,242,0,5,273
2001,110574,California State University-East Bay,13240,30,0,0,4,34
2002,110574,California State University-East Bay,13876,28,0,0,4,32
2003,110574,California State University-East Bay,13455,45,3,0,4,52
2004,110574,California State University-East Bay,13061,25,0,0,4,29
2005,110574,California State University-East Bay,12535,23,0,0,4,27
2006,110574,California State University-East Bay,12706,16,3,0,4,23
2007,110574,California State University-East Bay,13124,18,0,0,4,22
2008,110574,California State University-East Bay,14167,27,8,0,4,39
2009,110574,California State University-East Bay,14749,33,6,0,4,43
2010,110574,California State University-East Bay,12889,31,42,0,4,77
2011,110574,California State University-East Bay,13160,25,30,0,4,59
2012,110574,California State University-East Bay,13851,21,13,0,4,38
2013,110574,California State University-East Bay,14526,19,200,0,4,223
2014,110574,California State University-East Bay,14823,10,167,4,4,185
2001,110583,California State University-Long Beach,33259,135,82,0,4,221
2002,110583,California State University-Long Beach,34566,97,173,0,4,274
2003,110583,California State University-Long Beach,34715,85,266,0,4,355
2004,110583,California State University-Long Beach,33479,66,278,0,4,348
2005,110583,California State University-Long Beach,34547,117,104,0,4,225
2006,110583,California State University-Long Beach,35574,81,16,0,4,101
2007,110583,California State University-Long Beach,36868,51,255,0,4,310
2008,110583,California State University-Long Beach,37891,57,414,0,4,475
2009,110583,California State University-Long Beach,35557,46,274,0,4,324
2010,110583,California State University-Long Beach,33416,30,260,2,4,296
2011,110583,California State University-Long Beach,34870,36,325,2,4,367
2012,110583,California State University-Long Beach,36279,35,171,2,4,212
2013,110583,California State University-Long Beach,35586,56,222,2,4,284
2014,110583,California State University-Long Beach,36809,14,227,0,4,245
2001,110592,California State University-Los Angeles,20675,81,0,0,5,86
2002,110592,California State University-Los Angeles,21099,101,3,0,5,109
2003,110592,California State University-Los Angeles,20637,62,4,0,5,71
2004,110592,California State University-Los Angeles,20307,80,0,0,5,85
2005,110592,California State University-Los Angeles,20034,66,1,0,5,72
2006,110592,California State University-Los Angeles,20565,53,19,0,5,77
2007,110592,California State University-Los Angeles,21051,63,29,0,5,97
2008,110592,California State University-Los Angeles,20743,47,130,1,5,183
2009,110592,California State University-Los Angeles,20619,56,271,0,5,332
2010,110592,California State University-Los Angeles,20142,19,46,0,5,70
2011,110592,California State University-Los Angeles,21284,35,212,2,5,254
2012,110592,California State University-Los Angeles,21755,23,565,0,5,593
2013,110592,California State University-Los Angeles,23258,25,598,0,5,628
2014,110592,California State University-Los Angeles,24488,31,402,0,5,438
2001,110608,California State University-Northridge,31448,67,11,0,21,99
2002,110608,California State University-Northridge,33579,72,59,0,21,152
2003,110608,California State University-Northridge,33426,168,58,0,21,247
2004,110608,California State University-Northridge,31341,87,123,0,21,231
2005,110608,California State University-Northridge,33243,111,90,0,21,222
2006,110608,California State University-Northridge,34560,107,148,0,21,276
2007,110608,California State University-Northridge,35446,67,55,0,21,143
2008,110608,California State University-Northridge,36208,77,249,0,21,347
2009,110608,California State University-Northridge,35198,30,330,2,21,383
2010,110608,California State University-Northridge,35272,73,206,4,21,304
2011,110608,California State University-Northridge,36911,59,407,10,21,497
2012,110608,California State University-Northridge,36164,52,326,6,21,405
2013,110608,California State University-Northridge,38310,52,417,0,21,490
2014,110608,California State University-Northridge,40131,32,442,0,21,495
2001,110617,California State University-Sacramento,26923,83,206,0,7,296
2002,110617,California State University-Sacramento,28558,64,250,0,7,321
2003,110617,California State University-Sacramento,28375,95,332,0,7,434
2004,110617,California State University-Sacramento,27972,77,408,0,7,492
2005,110617,California State University-Sacramento,27932,53,188,0,7,248
2006,110617,California State University-Sacramento,28529,53,366,0,7,426
2007,110617,California State University-Sacramento,28829,67,281,0,7,355
2008,110617,California State University-Sacramento,29011,31,226,0,7,264
2009,110617,California State University-Sacramento,29241,49,252,0,7,308
2010,110617,California State University-Sacramento,27033,31,174,2,7,214
2011,110617,California State University-Sacramento,28016,26,231,0,7,264
2012,110617,California State University-Sacramento,28539,43,166,0,7,216
2013,110617,California State University-Sacramento,28811,15,238,0,7,260
2014,110617,California State University-Sacramento,29349,16,336,0,7,359
2001,110635,University of California-Berkeley,32128,102,281,0,29,412
2002,110635,University of California-Berkeley,33145,132,393,0,29,554
2003,110635,University of California-Berkeley,33065,152,410,0,29,591
2004,110635,University of California-Berkeley,32803,141,579,0,29,749
2005,110635,University of California-Berkeley,33547,118,805,0,29,952
2006,110635,University of California-Berkeley,33920,127,1155,0,29,1311
2007,110635,University of California-Berkeley,34940,136,924,0,29,1089
2008,110635,University of California-Berkeley,35396,118,723,1,29,871
2009,110635,University of California-Berkeley,35830,106,652,10,29,797
2010,110635,University of California-Berkeley,35833,113,736,38,29,916
2011,110635,University of California-Berkeley,36137,107,396,10,29,542
2012,110635,University of California-Berkeley,35893,117,433,16,29,595
2013,110635,University of California-Berkeley,36198,114,70,12,29,225
2014,110635,University of California-Berkeley,37565,140,79,24,29,272
2001,110644,University of California-Davis,27292,188,220,0,28,436
2002,110644,University of California-Davis,29087,193,149,0,28,370
2003,110644,University of California-Davis,29402,188,268,0,28,484
2004,110644,University of California-Davis,29210,178,302,0,28,508
2005,110644,University of California-Davis,28815,139,207,0,28,374
2006,110644,University of California-Davis,29628,172,358,0,28,558
2007,110644,University of California-Davis,29796,194,301,1,28,524
2008,110644,University of California-Davis,30568,170,255,0,28,453
2009,110644,University of California-Davis,31247,109,260,4,28,401
2010,110644,University of California-Davis,31392,115,289,16,28,448
2011,110644,University of California-Davis,31732,133,324,2,28,487
2012,110644,University of California-Davis,32354,97,36,0,28,161
2013,110644,University of California-Davis,33307,77,22,6,28,133
2014,110644,University of California-Davis,34508,93,35,8,28,164
2001,110653,University of California-Irvine,21885,164,194,0,33,391
2002,110653,University of California-Irvine,23779,170,196,0,33,399
2003,110653,University of California-Irvine,24273,139,205,0,33,377
2004,110653,University of California-Irvine,24344,113,198,0,33,344
2005,110653,University of California-Irvine,24400,115,281,0,33,429
2006,110653,University of California-Irvine,25230,88,479,0,33,600
2007,110653,University of California-Irvine,26483,65,669,0,33,767
2008,110653,University of California-Irvine,26984,97,566,0,33,696
2009,110653,University of California-Irvine,27142,40,468,0,33,541
2010,110653,University of California-Irvine,26994,47,430,8,33,518
2011,110653,University of California-Irvine,27189,68,783,0,33,884
2012,110653,University of California-Irvine,27479,84,637,2,33,756
2013,110653,University of California-Irvine,28895,71,495,0,33,599
2014,110653,University of California-Irvine,30051,75,588,0,33,696
2001,110662,University of California-Los Angeles,37494,193,293,0,3,489
2002,110662,University of California-Los Angeles,37599,259,487,1,3,750
2003,110662,University of California-Los Angeles,37055,242,515,1,3,761
2004,110662,University of California-Los Angeles,35966,253,668,0,3,924
2005,110662,University of California-Los Angeles,35625,255,856,0,3,1114
2006,110662,University of California-Los Angeles,36611,176,1135,0,3,1314
2007,110662,University of California-Los Angeles,37476,210,1102,0,3,1315
2008,110662,University of California-Los Angeles,38220,183,484,0,3,670
2009,110662,University of California-Los Angeles,38550,150,729,0,3,882
2010,110662,University of California-Los Angeles,38157,167,807,2,3,979
2011,110662,University of California-Los Angeles,39271,139,840,0,3,982
