Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,200280,University of North Dakota,14906,6,2,2
2002,200280,University of North Dakota,14906,6,2,2
2003,200280,University of North Dakota,14906,6,2,2
2004,200280,University of North Dakota,14906,6,2,2
2005,200280,University of North Dakota,14906,6,2,2
2006,200280,University of North Dakota,14906,6,2,2
2007,200280,University of North Dakota,14906,6,2,2
2008,200280,University of North Dakota,14906,6,2,2
2009,200280,University of North Dakota,14906,6,2,2
2010,200280,University of North Dakota,14906,6,2,2
2011,200280,University of North Dakota,14906,6,2,2
2012,200280,University of North Dakota,14906,6,2,2
2013,200280,University of North Dakota,14906,6,2,2
2014,200280,University of North Dakota,14906,6,2,2
2001,200332,North Dakota State University-Main Campus,14747,4,0,0
2002,200332,North Dakota State University-Main Campus,14747,4,0,0
2003,200332,North Dakota State University-Main Campus,14747,4,0,0
2004,200332,North Dakota State University-Main Campus,14747,4,0,0
2005,200332,North Dakota State University-Main Campus,14747,4,0,0
2006,200332,North Dakota State University-Main Campus,14747,4,0,0
2007,200332,North Dakota State University-Main Campus,14747,4,0,0
2008,200332,North Dakota State University-Main Campus,14747,4,0,0
2009,200332,North Dakota State University-Main Campus,14747,4,0,0
2010,200332,North Dakota State University-Main Campus,14747,4,0,0
2011,200332,North Dakota State University-Main Campus,14747,4,0,0
2012,200332,North Dakota State University-Main Campus,14747,4,0,0
2013,200332,North Dakota State University-Main Campus,14747,4,0,0
2014,200332,North Dakota State University-Main Campus,14747,4,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
